first_name	last_name	gender	dob	state	phone	zip	age	cost
Alex	Doughnut	M	2/11/1981	VT	18733411161	35545	40	cost
Ben	Dough	M	8/13/1944	CA	6528134420	29125	76	cost
Alex	Do	F	6/2/1961	IA	3265027025	29841	60	cost
Jim	Doe	M	11/2/2005	IA	7813502859	38546	15	cost
Ben	Doe	M	4/16/2029	TX	17898353239	74836	-8	cost
Carman	Sourdough	F	10/21/1960	CA	6828337752	67108	60	cost
Ben	Sourdough	M	9/2/1913	CA	4176138231	19660	107	cost
Alex	Do	F	9/25/2006	IA	12222283412	76560	14	cost
Lisa	Do	F	2/16/1985	IA	2642714631	53009	36	cost
Todd	Crisp	M	6/25/1994	VT	6356862551	96107	27	cost
John	Doughnut	M	10/28/1974	TX	7366926709	95223	46	cost
Asheley	Doe	F	7/2/1978	CA	3498396914	23626	43	cost
Asheley	Fryer	F	11/1/2007	VT	6974053411	13908	13	cost
Asheley	Curler	F	11/22/1917	CA	6773798424	6067	103	cost
Thomas	Dough	M	1/26/2005	VT	5751813347	13387	16	cost
Todd	Doughnut	M	6/15/1949	TX	3658018042	22954	72	cost
Alex	Do	F	1/15/1917	CA	7938647343	43522	104	cost
Ashleigh	Doughnut	F	9/29/1999	VT	4917185868	11183	21	cost
Jim	Doe	M	7/16/1988	VT	5852701045	43818	33	cost
Lisa	Curler	F	11/13/1981	VT	14136352355	87800	39	cost
Alex	Doe	M	4/17/1929	IA	2347283094	82767	92	cost
Ben	Doughnut	M	4/20/1957	VT	7803891749	25033	64	cost
Ben	Doe	M	10/26/1978	IA	2123612293	83398	42	cost
Lisa	Fryer	F	9/28/1964	TX	6683537514	99997	56	cost
John	Fryer	M	3/1/1917	TX	13104627592	49942	104	cost
Asheley	Curler	F	2/20/1932	IA	12853436411	53929	89	cost
Lisa	Do	F	11/21/1977	CA	3651641604	17317	43	cost
Asheley	Dough	F	12/4/1953	IA	2352113087	30613	67	cost
Carman	Crisp	F	8/9/1993	TX	4163972905	88608	27	cost
Carman	Fryer	F	10/27/1923	IA	8312095517	50170	97	cost
Jim	Doughnut	M	10/3/1995	IA	5408278957	97522	25	cost
John	Doe	M	12/15/1985	CA	5791333416	22431	35	cost
John	Do	M	12/6/1929	VT	8862074085	20213	91	cost
John	Doe	M	6/4/1930	CA	6298147728	72522	91	cost
Asheley	Doughnut	F	11/13/1938	IA	1604213946	2137	82	cost
Todd	Curler	M	8/7/1931	CA	1747417574	14926	89	cost
Lisa	Fryer	F	4/4/1992	IA	12516385393	47184	29	cost
Alex	Dough	F	10/31/1919	CA	1747491688	97323	101	cost
John	Fryer	M	5/24/2031	CA	17207464150	62311	-10	cost
Lisa	Curler	F	2/25/2026	IA	18298522903	9249	-5	cost
Ben	Dough	M	12/22/2027	IA	5328797272	2715	-7	cost
Todd	Dough	M	1/17/1956	TX	3528715728	78199	65	cost
Carman	Doe	F	10/28/1941	VT	17363836966	56159	79	cost
Ben	Curler	M	8/4/2023	TX	2578056854	6727	-3	cost
John	Do	M	1/8/1962	VT	17021214060	58387	59	cost
Thomas	Fryer	M	4/13/1941	TX	14868946055	22200	80	cost
John	Do	M	1/10/1918	CA	7523688927	56644	103	cost
Asheley	Dough	F	4/24/1956	TX	18804652333	32022	65	cost
Todd	Sourdough	M	4/6/2023	VT	4324121550	25596	-2	cost
Ben	Fryer	M	5/24/1973	VT	4512792852	51292	48	cost
Todd	Fryer	M	4/3/2019	CA	2914468494	1832	2	cost
Carman	Curler	F	4/28/1920	VT	8327908746	23569	101	cost
Thomas	Sourdough	M	11/2/1920	VT	2752718492	12808	100	cost
Asheley	Do	F	1/31/1994	CA	4622037394	99380	27	cost
Alex	Doughnut	M	4/28/2024	TX	3305996029	38533	-3	cost
Ben	Do	M	10/31/1929	CA	17703716025	62111	91	cost
Alex	Doughnut	F	2/18/2013	VT	16056524976	38951	8	cost
Ashleigh	Dough	F	7/14/1996	IA	2168898477	87140	25	cost
Ashleigh	Doughnut	F	11/23/2030	TX	7125868163	46277	-10	cost
Todd	Dough	M	12/19/1967	TX	7665168472	87091	53	cost
Asheley	Doughnut	F	6/21/2015	TX	17913896865	31922	6	cost
Jim	Curler	M	5/20/1930	CA	1396326614	37403	91	cost
Alex	Doughnut	F	12/12/2001	IA	8117486883	61953	19	cost
Lisa	Curler	F	10/1/1999	VT	4771207586	51294	21	cost
John	Crisp	M	6/5/2012	VT	12522512437	39712	9	cost
Ben	Doughnut	M	6/18/1985	TX	15257681093	66970	36	cost
Ashleigh	Fryer	F	9/24/1958	IA	8223051859	6443	62	cost
Todd	Curler	M	10/6/1967	IA	4724402933	92956	53	cost
Lisa	Doe	F	11/8/1992	TX	11413713586	21340	28	cost
Todd	Doughnut	M	1/1/1931	VT	1501835504	40556	90	cost
Thomas	Doe	M	5/1/1961	VT	3243417852	47110	60	cost
Asheley	Doughnut	F	4/7/1979	TX	1752125203	54865	42	cost
Todd	Curler	M	7/31/2018	CA	3135836510	65544	2	cost
Ashleigh	Sourdough	F	7/28/2021	CA	13705801942	51851	-1	cost
Thomas	Curler	M	10/17/1929	IA	7011264649	62262	91	cost
Alex	Dough	F	9/1/2027	CA	8605668433	60747	-7	cost
Alex	Doe	F	11/21/1956	CA	3352161917	28344	64	cost
Ashleigh	Sourdough	F	11/20/1979	TX	4984227786	42540	41	cost
John	Do	M	9/26/2000	CA	3694851193	9647	20	cost
Thomas	Dough	M	1/8/1970	IA	16133818176	14003	51	cost
Alex	Doughnut	F	4/11/1994	VT	7915505740	43749	27	cost
Carman	Doe	F	4/30/2009	CA	8496503656	75257	12	cost
Ashleigh	Crisp	F	7/14/1986	VT	14934492397	56155	35	cost
Ben	Doe	M	8/22/1932	TX	7694926583	5907	88	cost
John	Sourdough	M	2/13/2019	IA	3948737166	43034	2	cost
Ashleigh	Sourdough	F	7/21/1968	CA	17556454845	85055	53	cost
Lisa	Doe	F	8/27/1934	IA	2292168485	18467	86	cost
Thomas	Sourdough	M	9/29/1943	TX	15625805821	89423	77	cost
Carman	Do	F	2/12/1947	IA	5923175866	94014	74	cost
Lisa	Doughnut	F	2/21/1970	IA	18447063502	83624	51	cost
Ben	Doe	M	9/26/1924	VT	3754192753	29651	96	cost
Carman	Sourdough	F	5/4/1963	CA	14923064596	63228	58	cost
Carman	Doe	F	9/2/1992	VT	5365874822	33657	28	cost
Lisa	Curler	F	5/11/1988	TX	4875973170	5483	33	cost
Jim	Do	M	7/10/1982	TX	7864654669	37651	39	cost
John	Doe	M	5/16/2021	TX	1848842023	47520	0	cost
Ashleigh	Dough	F	6/17/1922	VT	15641251170	27583	99	cost
Todd	Dough	M	4/22/1923	CA	4006443843	14533	98	cost
Todd	Sourdough	M	7/15/1960	VT	8906318140	43250	61	cost
Ben	Crisp	M	4/20/1977	IA	3083507014	15880	44	cost
Carman	Dough	F	12/8/2000	CA	4803718951	93439	20	cost
John	Crisp	M	9/13/1916	TX	15635516688	50239	104	cost
Ashleigh	Crisp	F	5/24/2029	CA	13528053001	11203	-8	cost
Thomas	Curler	M	1/17/2019	VT	13343401126	13968	2	cost
Alex	Do	F	9/9/2013	TX	1695676647	41138	7	cost
Todd	Sourdough	M	1/21/2011	VT	7254458089	25478	10	cost
Todd	Sourdough	M	8/12/1956	VT	16287857341	33547	64	cost
Ben	Dough	M	10/29/1951	TX	4781253626	16745	69	cost
Jim	Doe	M	12/5/1915	TX	8682741449	20301	105	cost
Todd	Sourdough	M	6/8/1970	TX	13388572039	74070	51	cost
Alex	Doe	F	5/15/1987	VT	7874153528	50147	34	cost
Thomas	Curler	M	3/25/2020	VT	1162828776	75117	1	cost
Alex	Crisp	M	12/27/1937	VT	13432964083	28463	83	cost
Jim	Doughnut	M	8/9/1930	CA	6796438727	82530	90	cost
Todd	Dough	M	2/25/2029	TX	6193873949	82569	-8	cost
John	Doe	M	12/9/2018	IA	1807364360	3429	2	cost
Todd	Dough	M	12/17/2010	VT	3991442126	87775	10	cost
John	Do	M	6/21/1926	CA	6797237155	64508	95	cost
Thomas	Doughnut	M	8/30/1945	VT	8193802439	13829	75	cost
Alex	Sourdough	F	7/7/1995	CA	8135022626	80619	26	cost
Ashleigh	Dough	F	3/17/1971	VT	6386615308	50768	50	cost
Asheley	Curler	F	12/2/2017	TX	8017652248	25712	3	cost
Lisa	Sourdough	F	4/27/2031	VT	1485737521	85231	-10	cost
Ben	Sourdough	M	5/24/1919	IA	12131058808	98016	102	cost
Jim	Fryer	M	3/17/1950	CA	14912278807	34894	71	cost
Ben	Curler	M	6/21/1983	CA	2342727460	64465	38	cost
Jim	Crisp	M	3/1/1944	VT	7284084560	90294	77	cost
Carman	Sourdough	F	6/11/1930	TX	2486411432	55687	91	cost
Jim	Curler	M	8/12/2023	CA	4595732104	67865	-3	cost
Todd	Fryer	M	7/28/1943	CA	18657217160	96810	77	cost
Alex	Do	M	7/11/2017	CA	13778044117	70853	4	cost
Alex	Curler	F	10/18/1949	IA	4032026665	90689	71	cost
Lisa	Sourdough	F	10/11/2019	CA	3822077190	55222	1	cost
Jim	Do	M	8/5/2010	CA	17941181444	93920	10	cost
John	Do	M	4/30/1976	CA	4734054355	3091	45	cost
Asheley	Dough	F	11/7/1957	TX	1385162374	52315	63	cost
Lisa	Dough	F	11/23/1921	CA	7383565110	92095	99	cost
Lisa	Crisp	F	7/8/1919	VT	7894323500	87869	102	cost
Lisa	Do	F	6/16/1973	IA	11946437062	42483	48	cost
Thomas	Doughnut	M	1/22/1967	TX	13848353632	46452	54	cost
Ashleigh	Doe	F	9/8/2030	VT	5076123619	83797	-10	cost
Ben	Do	M	1/4/2020	VT	2033844794	26999	1	cost
Jim	Do	M	1/24/1958	CA	14032987357	54083	63	cost
Alex	Doe	F	12/22/1952	CA	8812686730	12749	68	cost
Lisa	Do	F	11/29/2020	VT	2536027813	95633	0	cost
Alex	Crisp	M	3/5/1987	TX	12755967225	39609	34	cost
John	Sourdough	M	12/16/1947	VT	15308592646	51054	73	cost
Asheley	Do	F	8/2/1948	CA	7082982248	2664	72	cost
John	Doughnut	M	2/7/2016	IA	7851997963	89050	5	cost
Jim	Sourdough	M	8/2/1935	VT	11857454132	8140	85	cost
Lisa	Doughnut	F	2/19/1927	VT	8924744668	52063	94	cost
Ashleigh	Sourdough	F	7/31/1946	IA	8307264219	65679	74	cost
Alex	Crisp	M	6/26/2013	VT	1003935286	9798	8	cost
Ben	Crisp	M	2/20/1944	IA	7123918837	87866	77	cost
Ashleigh	Sourdough	F	3/2/2030	IA	14096717998	25547	-9	cost
Thomas	Fryer	M	8/1/2001	VT	2585643573	23289	19	cost
Carman	Dough	F	10/11/1913	IA	12041561669	22015	107	cost
Ben	Crisp	M	11/7/2001	IA	4825626912	91575	19	cost
Carman	Doughnut	F	11/15/1931	IA	12492782387	53889	89	cost
Lisa	Sourdough	F	2/26/1961	VT	2408946027	87520	60	cost
Alex	Crisp	F	11/30/1917	TX	2977653157	41112	103	cost
Alex	Do	M	1/27/1937	CA	1415214648	22592	84	cost
Asheley	Crisp	F	2/29/1964	CA	1438656136	15531	57	cost
Thomas	Dough	M	5/19/1968	TX	4574618997	99118	53	cost
Ben	Sourdough	M	11/6/1954	IA	2808476865	72918	66	cost
Todd	Curler	M	10/2/1989	IA	4215662224	12550	31	cost
Jim	Doughnut	M	1/12/1941	CA	5401888209	10889	80	cost
Alex	Sourdough	M	1/14/1996	VT	6355755107	68508	25	cost
Asheley	Doe	F	5/16/1965	IA	13572173177	63938	56	cost
Ben	Sourdough	M	8/1/1915	TX	4545125688	78771	105	cost
Jim	Doe	M	8/13/1918	TX	8043887749	42188	102	cost
Todd	Crisp	M	4/18/1972	CA	7455777234	87674	49	cost
Alex	Curler	M	11/21/1923	VT	13621423506	49629	97	cost
Alex	Sourdough	F	7/19/1941	IA	2594261440	13617	80	cost
Asheley	Crisp	F	7/1/1955	VT	3636712846	36799	66	cost
Carman	Crisp	F	3/29/1950	IA	18121155062	88358	71	cost
Carman	Doe	F	12/23/1970	IA	3082205603	68561	50	cost
Alex	Curler	M	8/6/2016	CA	3962031150	30300	4	cost
Jim	Doughnut	M	5/26/1948	VT	11154321536	19190	73	cost
Thomas	Fryer	M	12/2/1939	VT	13928293404	2954	81	cost
Alex	Fryer	F	11/18/1943	CA	5868117092	39716	77	cost
Alex	Doughnut	F	5/22/1975	IA	2467205091	45068	46	cost
Asheley	Doughnut	F	8/20/1934	IA	7412615013	90810	86	cost
Carman	Do	F	10/2/1993	IA	16263174469	3075	27	cost
Alex	Crisp	F	6/23/2027	VT	14816023566	52416	-6	cost
Ashleigh	Fryer	F	2/22/1986	VT	11991046285	89046	35	cost
John	Fryer	M	7/4/2005	VT	2853165694	21510	16	cost
Todd	Fryer	M	8/7/2000	IA	4616717154	47659	20	cost
Alex	Do	M	3/1/2002	VT	8937091073	75536	19	cost
Alex	Do	F	11/2/2013	VT	2865695743	39042	7	cost
Alex	Fryer	F	9/13/1985	VT	4711914176	61927	35	cost
Alex	Crisp	M	12/16/1962	IA	3297691128	51882	58	cost
Jim	Do	M	1/16/1969	CA	18052628164	53286	52	cost
Asheley	Doughnut	F	6/19/1931	TX	14706736156	64270	90	cost
Alex	Curler	F	9/12/2013	TX	7561823823	23902	7	cost
Jim	Crisp	M	1/11/1970	IA	3596424672	30757	51	cost
Lisa	Sourdough	F	3/29/1986	CA	3842926329	72889	35	cost
Alex	Curler	M	8/22/1989	IA	5775214032	74286	31	cost
Carman	Crisp	F	8/5/2003	CA	2483313893	8956	17	cost
Carman	Sourdough	F	10/19/1964	CA	14316252741	95017	56	cost
John	Crisp	M	5/4/2027	CA	3207166703	92022	-6	cost
John	Doe	M	11/16/1946	IA	8268156223	94809	74	cost
Carman	Doe	F	10/28/1984	VT	5245371010	91402	36	cost
Asheley	Dough	F	12/26/1960	IA	18551025189	33786	60	cost
Ben	Curler	M	11/1/1937	VT	7068071220	56817	83	cost
Alex	Crisp	F	12/6/1955	IA	2571512684	41947	65	cost
Jim	Do	M	3/29/1990	CA	11336726674	6444	31	cost
Thomas	Curler	M	12/26/1917	VT	5652515702	95284	103	cost
Carman	Do	F	4/30/2013	IA	1423303360	72737	8	cost
Carman	Sourdough	F	6/7/2021	CA	2277087649	95451	0	cost
Thomas	Do	M	9/22/2009	VT	15085343948	92393	11	cost
Thomas	Crisp	M	6/11/1978	CA	18033931199	39939	43	cost
Alex	Sourdough	F	10/31/1942	VT	6406643884	33056	78	cost
Alex	Fryer	M	1/11/2023	VT	3495464932	28351	-2	cost
Thomas	Curler	M	10/23/2023	TX	1748707860	54977	-3	cost
Lisa	Fryer	F	3/21/2010	VT	17527305539	83852	11	cost
Ashleigh	Fryer	F	4/5/1930	CA	14964352778	5673	91	cost
Asheley	Doughnut	F	9/6/1938	IA	14598443617	97465	82	cost
Todd	Dough	M	7/26/1998	IA	15817748038	12924	22	cost
Jim	Dough	M	10/30/2028	VT	6942096794	92678	-8	cost
Asheley	Doe	F	8/19/2006	CA	5961677673	85442	14	cost
Alex	Dough	M	5/22/1943	VT	17053074929	75863	78	cost
Ashleigh	Sourdough	F	5/15/2007	CA	3414502673	92827	14	cost
Alex	Sourdough	M	9/9/1914	VT	12544794165	43031	106	cost
Lisa	Doe	F	2/25/1969	TX	2735023284	26627	52	cost
Lisa	Sourdough	F	1/4/1912	IA	2651533352	11765	109	cost
Alex	Fryer	F	10/29/1976	IA	13258621026	10147	44	cost
Jim	Fryer	M	6/7/1966	IA	1594532085	82228	55	cost
Lisa	Dough	F	11/9/1913	IA	16304608197	76049	107	cost
Thomas	Fryer	M	12/20/2030	IA	18743853622	93744	-10	cost
Thomas	Curler	M	2/17/1927	TX	17613328703	39534	94	cost
Jim	Do	M	12/30/1953	TX	2662951195	76638	67	cost
